cycle,0,name,parent.name,is_main_stem,can_split,is_branch,energy,level,length,width,base.x,base.y,base.z,end.x,end.y,end.z
116,2,stem0,plant_seed0,true,true,false,34.800000000000026,1.0,1.385158455504338,0.19731601930261222,50.0,50.0,0.0,50.0,50.0,1.385158455504338
117,2,stem0,plant_seed0,true,true,false,35.10000000000002,1.0,1.3968911479758246,0.1989873430164992,50.0,50.0,0.0,50.0,50.0,1.3968911479758246
118,2,stem0,plant_seed0,true,true,false,35.40000000000002,1.0,1.408620321167483,0.20065816540847337,50.0,50.0,0.0,50.0,50.0,1.408620321167483
119,2,stem0,plant_seed0,true,true,false,35.70000000000002,1.0,1.4203459761349433,0.2023284866289093,50.0,50.0,0.0,50.0,50.0,1.4203459761349433
120,2,stem0,plant_seed0,true,true,false,36.000000000000014,1.0,1.4320681139335198,0.20399830682813672,50.0,50.0,0.0,50.0,50.0,1.4320681139335198
121,2,stem0,plant_seed0,true,true,false,36.30000000000001,1.0,1.4437867356181948,0.205667626156438,50.0,50.0,0.0,50.0,50.0,1.4437867356181948
122,2,stem0,plant_seed0,true,true,false,36.60000000000001,1.0,1.4555018422436536,0.20733644476405322,50.0,50.0,0.0,50.0,50.0,1.4555018422436536
123,2,stem0,plant_seed0,true,true,false,36.900000000000006,1.0,1.4672134348642487,0.20900476280117503,50.0,50.0,0.0,50.0,50.0,1.4672134348642487
124,2,stem0,plant_seed0,true,true,false,37.2,1.0,1.4789215145340273,0.2106725804179526,50.0,50.0,0.0,50.0,50.0,1.4789215145340273
125,2,stem0,plant_seed0,true,true,false,37.5,1.0,1.4906260823067166,0.21233989776448953,50.0,50.0,0.0,50.0,50.0,1.4906260823067166
126,2,stem0,plant_seed0,true,true,false,37.8,1.0,1.5023271392357296,0.21400671499084467,50.0,50.0,0.0,50.0,50.0,1.5023271392357296
127,2,stem0,plant_seed0,true,true,false,38.099999999999994,1.0,1.5140246863741553,0.21567303224703066,50.0,50.0,0.0,50.0,50.0,1.5140246863741553
128,2,stem0,plant_seed0,true,true,false,38.39999999999999,1.0,1.5257187247747774,0.2173388496830167,50.0,50.0,0.0,50.0,50.0,1.5257187247747774
129,2,stem0,plant_seed0,true,true,false,38.69999999999999,1.0,1.5374092554900598,0.21900416744872644,50.0,50.0,0.0,50.0,50.0,1.5374092554900598
130,2,stem0,plant_seed0,true,true,false,38.999999999999986,1.0,1.5490962795721475,0.2206689856940381,50.0,50.0,0.0,50.0,50.0,1.5490962795721475
131,2,stem0,plant_seed0,true,true,false,39.29999999999998,1.0,1.5607797980728748,0.22233330456878558,50.0,50.0,0.0,50.0,50.0,1.5607797980728748
132,2,stem0,plant_seed0,true,true,false,39.59999999999998,1.0,1.5724598120437572,0.22399712422275744,50.0,50.0,0.0,50.0,50.0,1.5724598120437572
133,2,stem0,plant_seed0,true,true,false,39.89999999999998,1.0,1.5841363225359957,0.22566044480569739,50.0,50.0,0.0,50.0,50.0,1.5841363225359957
134,2,stem0,plant_seed0,true,true,false,40.199999999999974,1.0,1.5958093306004757,0.22732326646730422,50.0,50.0,0.0,50.0,50.0,1.5958093306004757
135,2,stem0,plant_seed0,true,true,false,40.49999999999997,1.0,1.6074788372877729,0.2289855893572326,50.0,50.0,0.0,50.0,50.0,1.6074788372877729
136,2,stem0,plant_seed0,true,true,false,40.79999999999997,1.0,1.619144843648135,0.23064741362509045,50.0,50.0,0.0,50.0,50.0,1.619144843648135
137,2,stem0,plant_seed0,true,true,false,41.099999999999966,1.0,1.6308073507315124,0.23230873942044333,50.0,50.0,0.0,50.0,50.0,1.6308073507315124
138,2,stem0,plant_seed0,true,true,false,41.39999999999996,1.0,1.6424663595875229,0.2339695668928095,50.0,50.0,0.0,50.0,50.0,1.6424663595875229
139,2,stem0,plant_seed0,true,true,false,41.69999999999996,1.0,1.6541218712654744,0.235629896191663,50.0,50.0,0.0,50.0,50.0,1.6541218712654744
140,2,stem0,plant_seed0,true,true,false,41.99999999999996,1.0,1.6657738868143732,0.2372897274664349,50.0,50.0,0.0,50.0,50.0,1.6657738868143732
