cycle,hour,int(cycle / 24),r_l,FC,n_L,shadow_loss,prevState'N_L',currentState'N_L',prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion
7120,16,296,0.0095,1.015,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.21886974069785622,0.21915643227172932,0.00278589582285835,-0.00307258739673145,1,1.245685,[1.245685]
7121,17,296,0.0095,1.015,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.21886974069785622,0.21915643227172932,0.00278589582285835,-0.00307258739673145,1,1.34211,[1.34211]
7122,18,296,0.0095,1.015,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.21886974069785622,0.21915643227172932,0.00278589582285835,-0.00307258739673145,1,1.438535,[1.438535]
7123,19,296,0.0063,1.015,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.14514519646278887,0.14533531824335733,0.00278589582285835,-0.00297601760342681,1,1.5024799999999998,[1.5024799999999998]
7124,20,296,0.0063,1.015,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.14514519646278887,0.14533531824335733,0.00278589582285835,-0.00297601760342681,1,1.5664249999999997,[1.5664249999999997]
7125,21,296,0.0063,1.0,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.14300019355939791,0.14318750565848015,0.00278589582285835,-0.00297320792194059,1,1.6294249999999997,[1.6294249999999997]
7126,22,296,0.0063,1.0,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.14300019355939791,0.14318750565848015,0.00278589582285835,-0.00297320792194059,1,1.6924249999999996,[1.6924249999999996]
7127,23,296,0.0063,1.0,10.0,0.09642499999999998,2.2698443422126653,2.2728175501346057,0.14300019355939791,0.14318750565848015,0.00278589582285835,-0.00297320792194059,1,1.7554249999999996,[1.7554249999999996]
7128,0,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,0.063,[0.063]
7129,1,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,0.126,[0.126]
