cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI,shadow_loss,length(leaf_aging),leaf_aging
9624,401,12.58628948854443,12.117995537883765,2.582031174016412,0.0,0.2,0.005,0.001,12.554803342448713,12.086509391788123,2.5790579660944717,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609564737,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003769765514064,0.09642499999999998,1,[1.3929479114291774]
9648,402,12.617775634640148,12.149481683979412,2.5850043819383526,0.0,0.2,0.005,0.001,12.58628948854443,12.117995537883765,2.582031174016412,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609565215,-0.00297320792194062,0.0,0.0,0.0,0.0,0.0000377410639763,0.09642499999999998,1,[1.3929479114291774]
9672,403,12.649261780735866,12.180967830075064,2.587977589860293,0.0,0.2,0.005,0.001,12.617775634640148,12.149481683979412,2.5850043819383526,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.0314861460956567,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003778447281196,0.09642499999999998,1,[1.3929479114291774]
9696,404,12.680747926831584,12.212453976170721,2.5909507977822335,0.0,0.2,0.005,0.001,12.649261780735866,12.180967830075064,2.587977589860293,0.0,0.2,0.005,0.001,-0.03148614609571752,-0.03148614609566081,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003782788164762,0.09642499999999998,1,[1.3929479114291774]
9720,405,12.712234072927302,12.243940122266382,2.593924005704174,0.0,0.2,0.005,0.001,12.680747926831584,12.212453976170721,2.5909507977822335,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609566458,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00003787129048328,0.09642499999999998,1,[1.3929479114291774]
9744,406,12.74372021902302,12.275426268362047,2.5968972136261144,0.0,0.2,0.005,0.001,12.712234072927302,12.243940122266382,2.593924005704174,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609566813,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003791469931894,0.09642499999999998,1,[1.3929479114291774]
9768,407,12.775206365118738,12.306912414457715,2.599870421548055,0.0,0.2,0.005,0.001,12.74372021902302,12.275426268362047,2.5968972136261144,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609567157,-0.00297320792194062,0.0,0.0,0.0,0.0,0.0000379581081546,0.09642499999999998,1,[1.3929479114291774]
9792,408,12.806692511214456,12.338398560553387,2.6028436294699953,0.0,0.2,0.005,0.001,12.775206365118738,12.306912414457715,2.599870421548055,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609567468,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003800151699026,0.09642499999999998,1,[1.3929479114291774]
9816,409,12.838178657310173,12.369884706649062,2.6058168373919357,0.0,0.2,0.005,0.001,12.806692511214456,12.338398560553387,2.6028436294699953,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609567757,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003804492582592,0.09642499999999998,1,[1.3929479114291774]
9840,410,12.869664803405891,12.401370852744739,2.608790045313876,0.0,0.2,0.005,0.001,12.838178657310173,12.369884706649062,2.6058168373919357,0.0,0.2,0.005,0.001,-0.03148614609571752,-0.03148614609568023,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00003808833466158,0.09642499999999998,1,[1.3929479114291774]
9864,411,12.90115094950161,12.43285699884042,2.6117632532358166,0.0,0.2,0.005,0.001,12.869664803405891,12.401370852744739,2.608790045313876,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609568279,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003813174349724,0.09642499999999998,1,[1.3929479114291774]
9888,412,12.932637095597327,12.464343144936102,2.614736461157757,0.0,0.2,0.005,0.001,12.90115094950161,12.43285699884042,2.6117632532358166,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609568523,-0.00297320792194062,0.0,0.0,0.0,0.0,0.0000381751523329,0.09642499999999998,1,[1.3929479114291774]
9912,413,12.964123241693045,12.495829291031788,2.6177096690796975,0.0,0.2,0.005,0.001,12.932637095597327,12.464343144936102,2.614736461157757,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609568745,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003821856116856,0.09642499999999998,1,[1.3929479114291774]
9936,414,12.995609387788763,12.527315437127475,2.620682877001638,0.0,0.2,0.005,0.001,12.964123241693045,12.495829291031788,2.6177096690796975,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609568945,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003826197000422,0.09642499999999998,1,[1.3929479114291774]
9960,415,13.02709553388448,12.558801583223165,2.6236560849235784,0.0,0.2,0.005,0.001,12.995609387788763,12.527315437127475,2.620682877001638,0.0,0.2,0.005,0.001,-0.03148614609571752,-0.03148614609569134,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00003830537883988,0.09642499999999998,1,[1.3929479114291774]
9984,416,13.058581679980199,12.590287729318856,2.626629292845519,0.0,0.2,0.005,0.001,13.02709553388448,12.558801583223165,2.6236560849235784,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609569311,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003834878767554,0.09642499999999998,1,[1.3929479114291774]
10008,417,13.090067826075916,12.621773875414549,2.6296025007674593,0.0,0.2,0.005,0.001,13.058581679980199,12.590287729318856,2.626629292845519,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609569478,-0.00297320792194059,0.0,0.0,0.0,0.0,0.0000383921965112,0.09642499999999998,1,[1.3929479114291774]
10032,418,13.121553972171634,12.653260021510244,2.6325757086893997,0.0,0.2,0.005,0.001,13.090067826075916,12.621773875414549,2.6296025007674593,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609569633,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00003843560534687,0.09642499999999998,1,[1.3929479114291774]
10056,419,13.153040118267352,12.68474616760594,2.63554891661134,0.0,0.2,0.005,0.001,13.121553972171634,12.653260021510244,2.6325757086893997,0.0,0.2,0.005,0.001,-0.03148614609571796,-0.03148614609569778,-0.00297320792194059,0.0,0.0,0.0,0.0,0.00003847901418253,0.09642499999999998,1,[1.3929479114291774]
0,0,0.0,1.0,1.9544978851212436,0.0,0.2,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00002853566912277,0.0,1,[1.9544978851212436]
24,1,0.0,1.0,1.9544978851212436,0.0,0.2,0.005,0.001,0.0,1.0,1.9544978851212436,0.0,0.2,0.005,0.001,-0.025,0.063,-0.00390899577024249,0.0,0.0,0.0,0.0,0.00002853566912277,0.09642499999999998,1,[1.9544978851212436]
48,2,0.025,0.937,1.958406880891486,0.0,0.2,0.005,0.001,0.0,1.0,1.9544978851212436,0.0,0.2,0.005,0.001,-0.03015,0.061425,-0.00415526250376776,0.0,0.0,0.0,0.0,0.00002859274046102,0.09642499999999998,1,[1.9544978851212436]
72,3,0.05515,0.8755750000000001,1.9625621433952538,0.0,0.2,0.005,0.001,0.025,0.937,1.958406880891486,0.0,0.2,0.005,0.001,-0.0312109,0.05555655000000001,-0.00417077730797986,0.0,0.0,0.0,0.0,0.00002865340729357,0.09642499999999998,1,[1.9544978851212436]
96,4,0.0863609,0.8200184500000001,1.9667329207032336,0.0,0.2,0.005,0.001,0.05515,0.8755750000000001,1.9625621433952538,0.0,0.2,0.005,0.001,-0.0314294454,0.0497204883,-0.00417175474064521,0.0,0.0,0.0,0.0,0.00002871430064227,0.09642499999999998,1,[1.9544978851212436]
120,5,0.1177903454,0.7702979617000001,1.9709046754438788,0.0,0.2,0.005,0.001,0.0863609,0.8200184500000001,1.9667329207032336,0.0,0.2,0.005,0.001,-0.0314744657524,0.0442403705898,-0.00417181631890314,0.0,0.0,0.0,0.0,0.00002877520826148,0.09642499999999998,1,[1.9544978851212436]
