cycle,L,pi,a,K,gamma,theta,epsilon,mu,v,I,r_growth_la,r_growth_da,r_maintenance,v_photosinthesis,c_max,c_x,U_L,s,delta,dseta,eta,t_l,t_la,t_d,t_da
27,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342575909292365,0.00000178946363114,0.074752,0.06447626020690736,48940.61550820846,48916.50274818813,-22.912865006862788,-0.00684989670751805,0.00342584308557459,12,0.00000014,12,0.00000007
28,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342415519237317,0.00000178946363114,0.074752,0.0644810719085588,48917.7026432016,48893.584770301066,-22.917977887068318,-0.00684668890641709,0.00342423918502411,12,0.00000014,12,0.00000007
29,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342255093392107,0.00000178946363114,0.074752,0.06448588468391508,48894.78466531453,48870.66167359807,-22.92309670299467,-0.0068434803895129,0.00342263492657202,12,0.00000014,12,0.00000007
30,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342094631715187,0.00000178946363114,0.074752,0.0644906985342227,48871.86156861154,48847.73345213214,-22.92822146592915,-0.00684027115597448,0.00342103030980281,12,0.00000014,12,0.00000007
31,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341934134164925,0.00000178946363114,0.074752,0.06449551346073056,48848.933347145605,48824.80009994495,-22.933352187188994,-0.00683706120496925,0.00341942533430019,12,0.00000014,12,0.00000007
32,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341773600699615,0.00000178946363114,0.074752,0.06450032946468987,48825.999994958416,48801.86161106683,-22.938488878121486,-0.00683385053566304,0.00341781999964709,12,0.00000014,12,0.00000007
33,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341613031277468,0.00000178946363114,0.074752,0.06450514654735427,48803.061506080296,48778.91797951673,-22.94363155010407,-0.00683063914722011,0.00341621430542562,12,0.00000014,12,0.00000007
34,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341452425856617,0.00000178946363114,0.074752,0.06450996470997979,48780.117874530195,48755.969199302184,-22.948780214544435,-0.00682742703880309,0.00341460825121711,12,0.00000014,12,0.00000007
35,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341291784395115,0.00000178946363114,0.074752,0.06451478395382484,48757.16909431565,48733.0152644193,-22.95393488288065,-0.00682421420957306,0.0034130018366021,12,0.00000014,12,0.00000007
36,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00341131106850935,0.00000178946363114,0.074752,0.06451960428015024,48734.215159432766,48710.056168852716,-22.95909556658121,-0.00682100065868945,0.00341139506116029,12,0.00000014,12,0.00000007
37,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340970393181969,0.00000178946363114,0.074752,0.06452442569021924,48711.25606386618,48687.09190657557,-22.964262277145213,-0.00681778638531013,0.00340978792447063,12,0.00000014,12,0.00000007
38,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340809643346029,0.00000178946363114,0.074752,0.06452924818529744,48688.29180158904,48664.12247154947,-22.9694350261024,-0.00681457138859133,0.00340818042611123,12,0.00000014,12,0.00000007
39,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340648857300846,0.00000178946363114,0.074752,0.06453407176665292,48665.322366562934,48641.147857724456,-22.974613825013304,-0.00681135566768768,0.00340657256565941,12,0.00000014,12,0.00000007
40,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340488035004071,0.00000178946363114,0.074752,0.06453889643555617,48642.34775273792,48618.16805903899,-22.979798685469333,-0.00680813922175217,0.00340496434269165,12,0.00000014,12,0.00000007
41,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340327176413273,0.00000178946363114,0.074752,0.06454372219328011,48619.36795405245,48595.183069419894,-22.984989619092886,-0.00680492204993621,0.00340335575678367,12,0.00000014,12,0.00000007
42,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340166281485939,0.00000178946363114,0.074752,0.06454854904110013,48596.38296443336,48572.19288278236,-22.99018663753745,-0.00680170415138954,0.00340174680751034,12,0.00000014,12,0.00000007
43,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00340005350179477,0.00000178946363114,0.074752,0.06455337698029401,48573.39277779582,48549.19749302987,-22.995389752487718,-0.00679848552526028,0.00340013749444571,12,0.00000014,12,0.00000007
44,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00339844382451209,0.00000178946363114,0.074752,0.06455820601214203,48550.39738804333,48526.19689405421,-23.0005989756597,-0.00679526617069493,0.00339852781716303,12,0.00000014,12,0.00000007
