cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',length(leaf_proportion),leaf_proportion
4601,17,-0.00261913629946171,0.21267109795430356,0.0,1.0,0.00076616546895574,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076616546895574,0.05801756888195166,0.05407332029620338,0.10058020877614852,0.0,0.0,0.0,-0.03797512594458406,-0.04819105440865468,-0.00307258739673148,0.0,0.0,0.0,0.0,1,[1.34211]
4602,18,-0.00261913629946171,0.21267109795430356,0.0,1.0,0.00076616546895574,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076616546895574,0.05801756888195166,0.05407332029620338,0.10058020877614852,0.0,0.0,0.0,-0.03797512594458406,-0.04819105440865468,-0.00307258739673148,0.0,0.0,0.0,0.0,1,[1.438535]
4603,19,-0.00239948307184794,0.22895780834771073,0.0,1.0,0.00076616546895574,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076616546895574,0.06644747205283354,0.06193012751872865,0.10058020877614852,0.0,0.0,0.0,-0.03158343828715347,-0.03195827818679203,-0.00297601760342684,0.0,0.0,0.0,0.0,1,[1.5024799999999998]
4604,20,-0.00239948307184794,0.22895780834771073,0.0,1.0,0.00076616546895574,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076616546895574,0.06644747205283354,0.06193012751872865,0.10058020877614852,0.0,0.0,0.0,-0.03158343828715347,-0.03195827818679203,-0.00297601760342684,0.0,0.0,0.0,0.0,1,[1.5664249999999997]
4605,21,-0.00315546677238622,0.1379175197099004,0.0,1.0,0.00075484282655738,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075484282655738,0.02009492250005952,0.01872879545994086,0.09909380174990004,0.0,0.0,0.0,-0.03148614609571796,-0.0314859883613714,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.6294249999999997]
4606,22,-0.00315546677238622,0.1379175197099004,0.0,1.0,0.00075484282655738,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075484282655738,0.02009492250005952,0.01872879545994086,0.09909380174990004,0.0,0.0,0.0,-0.03148614609571796,-0.0314859883613714,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.6924249999999996]
4607,23,-0.00315546677238622,0.1379175197099004,0.0,1.0,0.00075484282655738,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075484282655738,0.02009492250005952,0.01872879545994086,0.09909380174990004,0.0,0.0,0.0,-0.03148614609571796,-0.0314859883613714,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.7554249999999996]
4608,0,-0.00295010860402994,0.14351678071127127,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075598751160733,0.02267861736487099,0.02122484018592092,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.063]
4609,1,-0.00295010860402994,0.14351678071127127,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075598751160733,0.02267861736487099,0.02122484018592092,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.126]
4610,2,-0.00295010860402994,0.14351678071127127,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075598751160733,0.02267861736487099,0.02122484018592092,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.189]
