cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
2064,86,2.6681534683933017,2.449751129144488,5.895415538123096,0.05,1.5,0.05,0.5,2.636667322297584,2.4182652542682326,5.872532242928588,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148591497975872,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0430365334282986
2088,87,2.6996396144890196,2.4812370441242466,5.918298833317604,0.05,1.5,0.05,0.5,2.6681534683933017,2.449751129144488,5.895415538123096,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148594915341102,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04320358148321851
2112,88,2.7311257605847374,2.5127229932776576,5.9411821285121125,0.05,1.5,0.05,0.5,2.6996396144890196,2.4812370441242466,5.918298833317604,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148597827402189,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04337062953813842
2136,89,2.7626119066804553,2.5442089715516794,5.964065423706621,0.05,1.5,0.05,0.5,2.7311257605847374,2.5127229932776576,5.9411821285121125,0.05,1.5,0.05,0.5,-0.03148614609571796,-0.03148600308875255,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04353767759305833
2160,90,2.794098052776173,2.575694974640432,5.986948718901129,0.05,1.5,0.05,0.5,2.7626119066804553,2.5442089715516794,5.964065423706621,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148602423428626,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04370472564797824
2184,91,2.825584198871891,2.607180998874718,6.009832014095637,0.05,1.5,0.05,0.5,2.794098052776173,2.575694974640432,5.986948718901129,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148604225316387,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04387177370289815
2208,92,2.857070344967609,2.638667041127882,6.032715309290145,0.05,1.5,0.05,0.5,2.825584198871891,2.607180998874718,6.009832014095637,0.05,1.5,0.05,0.5,-0.03148614609571796,-0.03148605760770423,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04403882175781806
2232,93,2.888556491063327,2.670153098735586,6.055598604484653,0.05,1.5,0.05,0.5,2.857070344967609,2.638667041127882,6.032715309290145,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.0314860706918661,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04420586981273797
2256,94,2.9200426371590447,2.701639169427452,6.078481899679161,0.05,1.5,0.05,0.5,2.888556491063327,2.670153098735586,6.055598604484653,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148608184135582,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04437291786765788
2280,95,2.9515287832547625,2.733125251268808,6.10136519487367,0.05,1.5,0.05,0.5,2.9200426371590447,2.701639169427452,6.078481899679161,0.05,1.5,0.05,0.5,-0.03148614609571796,-0.03148609134224112,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04453996592257779
2304,96,2.9830149293504804,2.764611342611049,6.124248490068178,0.05,1.5,0.05,0.5,2.9515287832547625,2.733125251268808,6.10136519487367,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148609943829078,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0447070139774977
2328,97,3.0145010754461983,2.7960974420493394,6.147131785262686,0.05,1.5,0.05,0.5,2.9830149293504804,2.764611342611049,6.124248490068178,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148610633722881,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04487406203241761
2352,98,3.045987221541916,2.8275835483865683,6.170015080457194,0.05,1.5,0.05,0.5,3.0145010754461983,2.7960974420493394,6.147131785262686,0.05,1.5,0.05,0.5,-0.03148614609571785,-0.03148611221606468,-0.02288329519450803,0.0,0.0,0.0,0.0,0.04504111008733751
0,0,0.0,2.0,4.312173816812093,0.0,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03147886886272828
