cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
301,13,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
302,14,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
303,15,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
304,16,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
305,17,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
306,18,0.16032028134330437,0.5951385968740712,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00760412420174484,0.5758192160016709,0.01312841957656122,0.00619096129583921,0.00166774035820847,0.00353657438983511,0.1551159665952608,-0.03797512586881072,-0.00635860312032969,-0.02441304347819016,0.00125652577240352,-0.00828069202226489,0.1487385591365643,0.00051210564135665
307,19,0.1624897627538382,0.6807121849495409,0.26938310199569776,1.0,0.00190103105043621,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00760412420174484,0.6594852559335376,0.01503596772016413,0.00619096129583921,0.00166774035820847,0.00405043562596499,0.177654183963803,-0.03158343824870691,-0.00421675785874495,-0.02292654462237874,0.00145909453388379,-0.00776683078613494,0.1734249558596148,0.00051210564135665
308,20,0.1624897627538382,0.6807121849495409,0.23870552980608548,1.0,0.00190103105043621,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00760412420174484,0.6594852559335376,0.01503596772016413,0.00619096129583921,0.00147781669613227,0.00358916864078898,0.15742277741691696,-0.03158343824870691,-0.00421675785874495,-0.02292654462237874,0.00126917087180759,-0.00822809777131095,0.15319354931272874,0.00045378662407219
309,21,-0.03116606379345471,0.2100869392872826,0.23870552980608548,1.0,0.00187293699550365,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00749174798201462,0.19944032027853853,0.0045471497517596,0.00609946925698445,0.0014559770405244,0.00108542979060139,0.04760750731678391,-0.03148614605783933,-0.00415444124014281,-0.02288329519446173,0.00125041465202718,-0.01055719721639359,0.04344078012053937,0.00044708041780512
310,22,-0.03116606379345471,0.2100869392872826,-0.1483484118488527,1.0,0.00187293699550365,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00749174798201462,0.19944032027853853,0.0045471497517596,0.00609946925698445,-0.00090484657739454,-0.00067456244411244,-0.02958665477194772,-0.03148614605783933,-0.00415444124014281,-0.02288329519446173,-0.00111040896589176,-0.01231718945110738,-0.03375338196819226,-0.00027784722877593
