cycle,TIME,PLSTN,XLAI,XSLA,TOTNST,TOTWST,TOTNLV,TOTWML,FWFR10,APFFW,TOTNF,TOTWMF,ATL,ATT,ATV
288,12,68.20590893377957,0.06184748063759143,3922.638091157248,64.20590893377955,2.6618794524620712,54.51457814570354,4.954141452778404,23.128557875040613,2089955034526.3381,112.54553229007743,29.79279968090736,0.0,37.40882058614784,7.616020905240475
312,13,68.20595713677329,0.06184752692099854,2886.490084463625,64.20595713677329,2.6618816238158,54.514614388555955,4.954145284015993,25.221236121953524,2092678246912.9126,112.54567207875924,29.79295760907933,0.0,37.408984516911126,7.6160269078317935
336,14,68.2059632693635,0.06184753283672455,2124.016456285456,64.2059632693635,2.66188190124792,54.514618999526036,4.954145773706647,27.320606953848575,2099370831895.052,112.54568986327085,29.792980760807072,0.0,37.40900843576164,7.616027674954567
360,15,68.20596399961407,0.06184753354329223,1562.9496681850562,64.20596399961407,2.661881934379288,54.5146195485866,4.954145832194747,29.433414297922354,2112807344073.7793,112.54569198099747,29.792984107087594,0.0,37.409011873661626,7.616027766574035
384,16,68.20596407980479,0.06184753362109208,1150.0904466165277,64.20596407980479,2.6618819380269336,54.51461960888037,4.954145838634845,31.569538464020617,2136124166098.2646,112.54569221355055,29.792984448053794,0.0,37.409012224715575,7.616027776661778
408,17,68.20596408797574,0.06184753362902888,846.2895583019358,64.20596408797573,2.66188193839908,54.514619615023946,4.9541458392918365,33.74183846762522,2172300003604.6038,112.54569223724633,29.79298448860648,0.0,37.409012266297395,7.616027777690917
432,18,68.20596408873821,0.06184753362976975,622.7388591454998,64.20596408873818,2.6618819384338237,54.51461961559724,4.954145839353163,35.965433445258256,2223594977633.0327,112.54569223945748,29.792984492523033,0.0,37.40901227031002,7.616027777786988
456,19,68.20596408880316,0.06184753362983284,458.23995182186667,64.20596408880316,2.6618819384367836,54.51461961564607,4.954145839358387,38.256505631069786,2291072184737.0205,112.54569223964583,29.792984492850163,0.0,37.409012270645334,7.61602777779517
480,20,68.2059640888217,0.06184753362985086,337.1940747721241,64.2059640888217,2.6618819384376278,54.51461961566001,4.954145839359876,40.63079961869696,7948087927.505029,112.5456922396996,29.792984492949728,0.0,37.40901227074723,7.616027777797504
504,21,68.20596408884025,0.06184753362986882,248.12293998112372,64.20596408884023,2.6618819384384715,54.514619615673965,4.954145839361364,43.102042330876614,259809085.74256155,112.54569223975342,29.79298449304135,0.0,37.40901227084119,7.616027777799836
