cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
144,18,0.0,0.0032,21.92,24.297838595455783,0.0
144,19,0.0,0.0016,21.92,24.297838595455783,0.0
168,0,83.22790794136793,-0.0002,21.92,24.243663246831563,-8.84581325065692
168,1,47.0109063061719,0.00025,21.92,24.243663246831563,6.2456468661551945
168,2,17.97458367952296,0.0007,21.92,24.243663246831563,6.686451101207791
168,3,4.753402176276463,0.00115,21.92,24.243663246831563,2.9049669363408595
168,4,0.8867222436515563,0.0016,21.92,24.243663246831563,0.7539566538734507
168,5,0.10970162500927808,0.00235,21.92,24.243663246831563,0.13699973143034164
168,6,0.00670084007184983,0.0031,21.92,24.243663246831563,0.01103900015206223
168,7,0.0,0.00315,21.92,24.243663246831563,0.0
168,8,0.0,0.0032,21.92,24.243663246831563,0.0
168,9,0.0,0.0032,21.92,24.243663246831563,0.0
168,10,0.0,0.0032,21.92,24.243663246831563,0.0
168,11,0.0,0.0032,21.92,24.243663246831563,0.0
168,12,0.0,0.0032,21.92,24.243663246831563,0.0
168,13,0.0,0.0032,21.92,24.243663246831563,0.0
168,14,0.0,0.0032,21.92,24.243663246831563,0.0
168,15,0.0,0.0032,21.92,24.243663246831563,0.0
168,16,0.0,0.0032,21.92,24.243663246831563,0.0
168,17,0.0,0.0032,21.92,24.243663246831563,0.0
168,18,0.0,0.0032,21.92,24.243663246831563,0.0
168,19,0.0,0.0016,21.92,24.243663246831563,0.0
192,0,61.521760960220575,-0.0002,21.92,24.243199425784486,-6.5386672588101655
192,1,56.580509403002154,0.00025,21.92,24.243199425784486,7.516875300420614
192,2,25.646838984570334,0.0007,21.92,24.243199425784486,9.540307414816349
192,3,8.246829399535825,0.00115,21.92,24.243199425784486,5.039823586275019
192,4,1.9084134546031344,0.0016,21.92,24.243199425784486,1.6226428342914028
192,5,0.3150134559929326,0.00235,21.92,24.243199425784486,0.3933937460337013
192,6,0.03391669411856558,0.0031,21.92,24.243199425784486,0.05587347623721054
192,7,0.00177056015152347,0.00315,21.92,24.243199425784486,0.00296381931061915
192,8,0.0,0.0032,21.92,24.243199425784486,0.0
192,9,0.0,0.0032,21.92,24.243199425784486,0.0
192,10,0.0,0.0032,21.92,24.243199425784486,0.0
192,11,0.0,0.0032,21.92,24.243199425784486,0.0
192,12,0.0,0.0032,21.92,24.243199425784486,0.0
192,13,0.0,0.0032,21.92,24.243199425784486,0.0
192,14,0.0,0.0032,21.92,24.243199425784486,0.0
