cycle,DTFAST,GENRF,TEMFCF,RDVLVF,RDVFRF,TTHF,TTLF,TTABF,FCO2,TSLAF,CSLAF,GPF,MAINTF
52,5,0.47300000000000003,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.0069366352141937,0.00181964185527275
53,6,0.47300000000000003,0.86,0.010894,0.01414125,0.0,0.0,0.0,1.0475,1.27,1.5175,1.0069366352141937,0.00181964185527275
54,7,0.4895,0.8899999999999999,0.01120825,0.014665,0.0,0.0,0.0,1.0475,1.225,1.5175,1.0069366352141937,0.0018819094429852
55,8,0.4895,0.8899999999999999,0.01120825,0.014665,0.0,0.0,0.0,1.0475,1.225,1.5175,1.0069366352141937,0.0018819094429852
56,9,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
57,10,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
58,11,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
59,12,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
60,13,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
61,14,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
62,15,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
63,16,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
64,17,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
65,18,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
66,19,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.0069366352141937,0.0020817910263299
67,20,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
68,21,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.0069366352141937,0.00194630780850335
69,22,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.0069366352141937,0.00194630780850335
70,23,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.0069366352141937,0.00194630780850335
