cycle,DTFAST,GENR,TEMFAC,RDVLV,RDVFR,TTH,TTL,TTAB,FCO2D,TSLA,CSLA,GP,MAINT,GPFN
17,18,0.00000000001384549,36.36285714285714,0.2026007500000001,0.26978500000000005,0.0,0.0,0.0,18.664999999999996,21.429999999999996,22.244999999999997,52.474106857441654,0.00904122648678487,0.9235368792379048
18,19,0.00000000001465538,37.31999999999999,0.21438512500000012,0.28602125000000006,0.0,0.0,0.0,19.712499999999995,22.519999999999996,23.762499999999996,53.79368591868749,0.00928188882132301,0.9235368792379048
19,20,0.00000000001543385,38.239999999999995,0.2259076250000001,0.3012100000000001,0.0,0.0,0.0,20.759999999999994,23.699999999999996,25.279999999999994,55.11326497993332,0.00950688882132301,0.9235478428720816
20,21,0.00000000001621231,39.16,0.2374301250000001,0.3163987500000001,0.0,0.0,0.0,21.807499999999994,24.879999999999995,26.797499999999992,56.43284404117915,0.00973188882132301,0.9235478428720816
21,22,0.00000000001699077,40.08,0.2484301250000001,0.33089875000000013,0.0,0.0,0.0,22.807499999999994,26.059999999999995,26.797499999999992,57.752423102424984,0.00995688882132301,0.9235478428720816
22,23,0.00000000001776923,41.0,0.2594301250000001,0.34539875000000014,0.0,0.0,0.0,23.807499999999994,27.239999999999995,26.797499999999992,59.07200216367082,0.01018188882132301,0.9235478428720816
23,24,0.00000000001854769,41.92,0.27043012500000013,0.35989875000000016,0.0,0.0,0.0,24.807499999999994,28.419999999999995,26.797499999999992,60.39158122491665,0.01040688882132301,0.9235478428720816
24,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.319579061245831,-0.0012313733390696,0.9245673042094303
25,2,0.9460000000000001,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,2.639158122491662,-0.0024627466781392,0.9245673042094303
26,3,1.419,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,3.958737183737493,-0.0036941200172088,0.9245673042094303
27,4,1.8920000000000001,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,5.278316244983324,-0.0049254933562784,0.9245673042094303
28,5,2.365,4.3,0.052494,0.06814125,0.0,0.0,0.0,5.0475,6.35,1.5175,6.332475763406289,-0.006156866695348,0.7387736242334243
29,6,2.838,5.16,0.063388,0.08228250000000001,0.0,0.0,0.0,6.095000000000001,7.619999999999999,3.035,7.386635281829254,-0.0073882400344176,0.7387736242334243
30,7,3.3275,6.05,0.07459625,0.0969475,0.0,0.0,0.0,7.142500000000001,8.844999999999999,4.5525,8.440794800252219,-0.00866175059250923,0.7388031202867397
31,8,3.817,6.9399999999999995,0.0858045,0.1116125,0.0,0.0,0.0,8.190000000000001,10.069999999999999,6.07,9.494954318675184,-0.00993526115060086,0.7388031202867397
32,9,4.323,7.859999999999999,0.09732700000000001,0.12680125,0.0,0.0,0.0,9.2375,11.249999999999998,7.5875,10.54911383709815,-0.01125235085046093,0.7388336256859775
33,10,4.829000000000001,8.78,0.10884950000000002,0.14199,0.0,0.0,0.0,10.285,12.429999999999998,9.105,11.603273355521114,-0.012569440550321,0.7388336256859775
34,11,5.335000000000001,9.7,0.12037200000000002,0.15717875,0.0,0.0,0.0,11.3325,13.609999999999998,10.6225,12.65743287394408,-0.01388653025018106,0.7388336256859775
35,12,5.841000000000001,10.62,0.13189450000000003,0.1723675,0.0,0.0,0.0,12.379999999999999,14.789999999999997,12.14,13.711592392367045,-0.01520361995004113,0.7388336256859775
36,13,6.367428571428572,11.577142857142857,0.14367887500000004,0.18860375000000001,0.0,0.0,0.0,13.427499999999998,15.879999999999997,13.6575,14.76575191079001,-0.01661239275877207,0.7388978038621871
37,14,6.893857142857144,12.534285714285714,0.15546325000000005,0.20484000000000002,0.0,0.0,0.0,14.474999999999998,16.97,15.175,15.819911429212976,-0.01802116556750302,0.7388978038621871
38,15,7.420285714285715,13.491428571428571,0.16724762500000007,0.22107625000000003,0.0,0.0,0.0,15.522499999999997,18.06,16.692500000000003,16.87407094763594,-0.01942993837623396,0.7388978038621871
39,16,7.946714285714286,14.448571428571428,0.17903200000000008,0.23731250000000004,0.0,0.0,0.0,16.569999999999997,19.15,18.21,17.928230466058903,-0.02083871118496491,0.7388978038621871
40,17,8.473142857142857,15.405714285714286,0.1908163750000001,0.25354875000000004,0.0,0.0,0.0,17.617499999999996,20.24,19.7275,18.982389984481866,-0.02224748399369585,0.7388978038621871
41,18,8.999571428571429,16.36285714285714,0.2026007500000001,0.26978500000000005,0.0,0.0,0.0,18.664999999999996,21.33,21.244999999999997,20.03654950290483,-0.0236562568024268,0.7388978038621871
42,19,9.526,17.319999999999997,0.21438512500000012,0.28602125000000006,0.0,0.0,0.0,19.712499999999995,22.419999999999998,22.762499999999996,21.090709021327793,-0.02506502961115775,0.7388978038621871
43,20,10.032,18.239999999999995,0.2259076250000001,0.3012100000000001,0.0,0.0,0.0,20.759999999999994,23.599999999999998,24.279999999999994,22.144868539750757,-0.02638211931101781,0.7388336256859775
44,21,10.538,19.159999999999997,0.2374301250000001,0.3163987500000001,0.0,0.0,0.0,21.807499999999994,24.779999999999998,25.797499999999992,23.19902805817372,-0.02769920901087788,0.7388336256859775
45,22,11.044,20.08,0.2484301250000001,0.33089875000000013,0.0,0.0,0.0,22.807499999999994,25.959999999999997,25.797499999999992,24.253187576596684,-0.02901629871073794,0.7388336256859775
46,23,11.55,21.0,0.2594301250000001,0.34539875000000014,0.0,0.0,0.0,23.807499999999994,27.139999999999997,25.797499999999992,25.307347095019647,-0.03033338841059801,0.7388336256859775
47,24,12.056000000000001,21.92,0.27043012500000013,0.35989875000000016,0.0,0.0,0.0,24.807499999999994,28.319999999999997,25.797499999999992,26.36150661344261,-0.03165047811045808,0.7388336256859775
48,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.054159518422965,0.00181964185527275,0.7366379135973846
49,2,0.9460000000000001,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,2.10831903684593,0.0036392837105455,0.7366379135973846
50,3,1.419,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,3.162478555268895,0.00545892556581825,0.7366379135973846
