cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
143,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
144,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
145,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
146,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
147,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
148,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
149,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
150,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
151,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
152,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
153,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
154,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
155,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
156,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
157,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
158,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
159,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
160,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
161,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
162,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
163,6,7,0.104243798,0.09316704,0.010538689,0.000523783,1.40713E-05,2.13769E-07,1.73656E-09,5.88665E-12,,,
