cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
462,6,-0.03797532688663363,0.2076780462224781,-0.16730188573488167,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00203321436396477,0.18752066042564397,0.01027522487962762,0.00988216091720652,-0.0016533041565842,-0.00171906449871167,-0.03137256010346064,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.0030568019492796,-0.03464309292710932,-0.03591063662011082,-0.00017008029859728
463,7,-0.03797532688663363,0.2076780462224781,-0.18285672259239197,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00203321436396477,0.18752066042564397,0.01027522487962762,0.00988216091720652,-0.00180701955745101,-0.00187889394538851,-0.03428941338379411,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00321051735014641,-0.03480292237378602,-0.0388274899004443,-0.00018589345746119
464,8,-0.03927483608242197,0.1958796951691812,-0.18285672259239197,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00180701955745101,-0.00176681956969867,-0.03224407995388359,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00321051735014641,-0.0346908479980963,-0.03678215647053377,-0.00018589345746119
465,9,-0.03927483608242197,0.1958796951691812,-0.20050488667802097,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00198142155483846,-0.00193734172077785,-0.03535607280680566,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00338491934753386,-0.03486137014917534,-0.03989414932345584,-0.00020383470781944
466,10,-0.03927483608242197,0.1958796951691812,-0.20050488667802097,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00198142155483846,-0.00193734172077785,-0.03535607280680566,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00338491934753386,-0.03486137014917534,-0.03989414932345584,-0.00020383470781944
467,11,-0.03927483608242197,0.1958796951691812,-0.20050488667802097,1.0,0.00101660718198239,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00203321436396477,0.1763352175230617,0.00966231672891299,0.00988216091720652,-0.00198142155483846,-0.00193734172077785,-0.03535607280680566,-0.03158343828715304,-0.02290744254134763,-0.02292654462242564,-0.00338491934753386,-0.03486137014917534,-0.03989414932345584,-0.00020383470781944
468,12,-0.04200878260457384,0.17228299306258738,-0.20050488667802097,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00198142155483846,-0.0016915595621717,-0.0308706008835542,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00474753856374299,-0.03461558799056919,-0.03771373213882036,-0.00020383470781944
469,13,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
470,14,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
471,15,-0.04200878260457384,0.17228299306258738,-0.2438359228488258,1.0,0.00101660718198239,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00203321436396477,0.15396433171789714,0.00843650042748373,0.00988216091720652,-0.00240962582698765,-0.00205712186735001,-0.03754203491023619,-0.03797512594458319,-0.03454296891155595,-0.02441304347826088,-0.00517574283589218,-0.03498115029574755,-0.04438516616550235,-0.00024788535039342
