cycle,type,name,level,length,width
358,MAIN,stem1,1.3,0.2108749907720571,0.04310737604343221
359,MAIN,stem0,1.0,4.146082344567366,0.5906100205936418
359,MAIN,stem1,1.3,0.21927713830819928,0.04482495541160104
360,MAIN,stem0,1.0,4.156986884101279,0.592163373803601
360,MAIN,stem1,1.3,0.2276767655781426,0.04654201958324342
361,MAIN,stem0,1.0,4.167888152763991,0.5937162610774916
361,MAIN,stem1,1.3,0.23607387333784832,0.04825856871289404
362,MAIN,stem0,1.0,4.178786151536609,0.5952686825550724
362,MAIN,stem1,1.3,0.24446846234305844,0.04997460295504279
363,MAIN,stem0,1.0,4.1896808813999575,0.5968206383760623
363,MAIN,stem1,1.3,0.2528605333492861,0.05169012246413281
364,MAIN,stem0,1.0,4.200572343334561,0.5983721286801369
364,MAIN,stem1,1.3,0.26125008711181585,0.05340512739456046
365,MAIN,stem0,1.0,4.211460538320652,0.5999231536069304
365,MAIN,stem1,1.3,0.26963712438570975,0.05511961790067663
366,MAIN,stem0,1.0,4.222345467338168,0.6014737132960353
366,MAIN,stem1,1.3,0.278021645925801,0.05683359413678543
367,MAIN,stem0,1.0,4.23322713136675,0.6030238078870014
367,MAIN,stem1,1.3,0.28640365248669736,0.05854705625714492
368,MAIN,stem0,1.0,4.244105531385748,0.6045734375193373
368,MAIN,stem1,1.3,0.29478314482277773,0.06026000441596632
369,MAIN,stem0,1.0,4.2549806683742215,0.6061226023325101
369,MAIN,stem1,1.3,0.30316012368819245,0.06197243876741416
370,MAIN,stem0,1.0,4.265852543310927,0.6076713024659439
370,MAIN,stem1,1.3,0.31153458983687865,0.06368435946560937
371,MAIN,stem0,1.0,4.276721157174341,0.609219538059023
371,MAIN,stem1,1.3,0.31990654402253227,0.0653957666646236
372,MAIN,stem0,1.0,4.287586510942634,0.6107673092510875
372,MAIN,stem1,1.3,0.3282759869986298,0.0671066605184836
373,MAIN,stem0,1.0,4.298448605593688,0.6123146161814369
373,MAIN,stem1,1.3,0.3366429195184223,0.06881704118117009
374,MAIN,stem0,1.0,4.309307442105088,0.6138614589893288
374,MAIN,stem1,1.3,0.34500734233493197,0.07052690880661695
375,MAIN,stem0,1.0,4.320163021454137,0.6154078378139796
375,MAIN,stem1,1.3,0.35336925620095866,0.07223626354871265
376,MAIN,stem0,1.0,4.331015344617836,0.6169537527945634
376,MAIN,stem1,1.3,0.3617286618690765,0.0739451055612995
377,MAIN,stem0,1.0,4.341864412572888,0.618499204070212
377,MAIN,stem1,1.3,0.3700855600916278,0.07565343499817241
378,MAIN,stem0,1.0,4.352710226295715,0.6200441917800164
378,MAIN,stem1,1.3,0.3784399516207325,0.07736125201308086
379,MAIN,stem0,1.0,4.363552786762437,0.6215887160630251
379,MAIN,stem1,1.3,0.386791837208291,0.07906855675972943
380,MAIN,stem0,1.0,4.3743920949488855,0.6231327770582458
380,MAIN,stem1,1.3,0.3951412176059721,0.08077534939177536
