cycle,name,size,age_class,parent.name,parent.is_main_stem,parent.level
1027,fruit5,0.25881904510252074,40,stem15,false,5.1
1027,fruit6,0.14904226617617444,20,stem16,false,4.1
1027,fruit7,0.14904226617617444,20,stem16,false,4.1
1027,fruit8,0.14904226617617444,20,stem17,false,4.8
1028,fruit1,0.6801727377709194,63,stem8,false,3.4000000000000004
1028,fruit2,0.6801727377709194,63,stem8,false,3.4000000000000004
1028,fruit3,0.2947551744109042,45,stem15,false,5.1
1028,fruit4,0.2947551744109042,45,stem15,false,5.1
1028,fruit5,0.2947551744109042,45,stem15,false,5.1
1028,fruit6,0.18591160716291458,24,stem16,false,4.1
1028,fruit7,0.18591160716291458,24,stem16,false,4.1
1028,fruit8,0.18591160716291458,24,stem17,false,4.8
1029,fruit1,0.7071067811865475,66,stem8,false,3.4000000000000004
1029,fruit2,0.7071067811865475,66,stem8,false,3.4000000000000004
1029,fruit3,0.3302790619551671,50,stem15,false,5.1
1029,fruit4,0.3302790619551671,50,stem15,false,5.1
1029,fruit5,0.3302790619551671,50,stem15,false,5.1
1029,fruit6,0.22252093395631437,28,stem16,false,4.1
1029,fruit7,0.22252093395631437,28,stem16,false,4.1
1029,fruit8,0.22252093395631437,28,stem17,false,4.8
1029,fruit9,0.0,4,stem13,false,4.1
1029,fruit10,0.0,4,stem13,false,4.1
1030,fruit1,0.7330518718298263,69,stem8,false,3.4000000000000004
1030,fruit2,0.7330518718298263,69,stem8,false,3.4000000000000004
1030,fruit3,0.365341024366395,55,stem15,false,5.1
1030,fruit4,0.365341024366395,55,stem15,false,5.1
1030,fruit5,0.365341024366395,55,stem15,false,5.1
1030,fruit6,0.25881904510252074,32,stem16,false,4.1
1030,fruit7,0.25881904510252074,32,stem16,false,4.1
1030,fruit8,0.25881904510252074,32,stem17,false,4.8
1030,fruit9,0.03739119427632562,8,stem13,false,4.1
1030,fruit10,0.03739119427632562,8,stem13,false,4.1
1031,fruit1,0.757971723145453,72,stem8,false,3.4000000000000004
1031,fruit2,0.757971723145453,72,stem8,false,3.4000000000000004
1031,fruit3,0.39989202431974097,60,stem15,false,5.1
1031,fruit4,0.39989202431974097,60,stem15,false,5.1
1031,fruit5,0.39989202431974097,60,stem15,false,5.1
1031,fruit6,0.2947551744109042,36,stem16,false,4.1
